,syscall_names,./chrome
0,access,388.0
1,arch_prctl,4.0
2,brk,5.0
3,clock_nanosleep,1.0
4,clone,27.0
5,close,624.0
6,connect,4.0
7,creat,1.0
8,dup,1.0
9,dup2,10.0
10,eventfd2,7.0
11,exit_group,1.0
12,fadvise64,123.0
13,fallocate,5.0
14,fcntl,45.0
15,flock,4.0
16,fstat,192.0
17,fstatfs,233.0
18,ftruncate,6.0
19,futex,571.8
20,getcwd,1.0
21,getdents64,8.0
22,getegid,11.0
23,geteuid,11.0
24,getgid,10.0
25,getpeername,2.0
26,getpgrp,1.0
27,getpid,29.0
28,getppid,3.0
29,getpriority,1.0
30,getrandom,119.4
31,getresgid,4.0
32,getresuid,4.0
33,getsockname,2.0
34,gettid,182.0
35,getuid,11.0
36,ioctl,12.0
37,lseek,29.0
38,lstat,1.0
39,madvise,74.9
40,mkdir,5.0
41,mmap,667.0
42,mprotect,515.7
43,munmap,76.0
44,newfstatat,367.0
45,openat,1106.0
46,pipe,7.0
47,poll,250.7
48,prctl,8.0
49,pread64,10.0
50,prlimit64,6.0
51,pselect6,1.0
52,pwrite64,1.0
53,read,575.0
54,readlink,130.0
55,recvfrom,12.6
56,recvmsg,167.5
57,rename,1.0
58,rt_sigaction,60.0
59,rt_sigprocmask,110.0
60,rt_sigreturn,3.0
61,sched_getaffinity,1.0
62,sched_getattr,1.0
63,sched_getparam,1.0
64,sched_getscheduler,1.0
65,sched_setattr,1.0
66,sendmsg,4.0
67,sendto,4.0
68,set_robust_list,1.0
69,set_tid_address,1.0
70,setpriority,2.0
71,setsockopt,5.0
72,shutdown,3.0
73,sigaltstack,2.0
74,socket,4.0
75,socketpair,6.0
76,stat,217.0
77,statfs,3.0
78,statx,2.0
79,sysinfo,2.0
80,uname,27.0
81,unlink,4.0
82,wait4,10.0
83,write,56.3
84,writev,122.0
