,syscall_names,./mozilla
0,access,1333.9
1,arch_prctl,4.0
2,brk,4.0
3,clone,117.4
4,close,1930.4
5,connect,11.1
6,dup,545.3
7,eventfd2,8.2
8,exit_group,1.0
9,faccessat2,1.0
10,fadvise64,63.0
11,fcntl,775.4
12,fstat,2.0
13,fstatfs,158.0
14,ftruncate,122.0
15,futex,35002.3
16,getcwd,4.0
17,getdents64,102.8
18,getegid,24.0
19,geteuid,39.0
20,getgid,23.1
21,getpeername,1.0
22,getpid,650.7
23,getppid,1.0
24,getpriority,5.0
25,getrandom,719.3
26,getresgid,2.0
27,getresuid,2.0
28,getrusage,66.4
29,getsockname,3.0
30,getsockopt,2.0
31,gettid,58.0
32,getuid,51.3
33,inotify_add_watch,7.0
34,inotify_init1,1.0
35,ioctl,63.0
36,kill,1.0
37,lseek,94.1
38,madvise,7046.1
39,memfd_create,123.0
40,mincore,3.0
41,mkdir,21.1
42,mmap,1974.4
43,mprotect,5919.4
44,munmap,749.9
45,newfstatat,3276.8
46,openat,1824.1
47,pipe,5.0
48,pipe2,1.1
49,poll,151822.9
50,prctl,8.0
51,pread64,38.2
52,prlimit64,7.0
53,pwrite64,1.0
54,quotactl,2.1
55,read,49362.7
56,readahead,13.0
57,readlink,751.3
58,recvfrom,21.8
59,recvmsg,156494.5
60,rename,0.2
61,rmdir,3.2
62,rt_sigaction,46.0
63,rt_sigprocmask,247.8
64,rt_sigreturn,1.6
65,sched_getaffinity,4.0
66,sched_getattr,1.0
67,sched_setattr,1.0
68,sched_setscheduler,8.0
69,seccomp,1.0
70,sendmsg,21.2
71,sendto,13.1
72,set_robust_list,1.0
73,set_tid_address,1.0
74,setpriority,5.0
75,setsockopt,2.1
76,shmdt,2.8
77,shutdown,2.0
78,sigaltstack,2.0
79,socket,11.1
80,socketpair,30.0
81,stat,20.5
82,statfs,8.1
83,statx,31.0
84,symlink,2.9
85,sysinfo,7.0
86,umask,4.2
87,uname,22.1
88,unlink,4.0
89,wait4,4.0
90,write,40723.0
91,writev,18197.0
