,syscall_names,./office
0,access,6.0
1,arch_prctl,4.0
2,brk,6.0
3,chdir,3.0
4,clone,11.0
5,close,50.0
6,connect,3.0
7,exit_group,1.0
8,faccessat2,4.0
9,fcntl,3.0
10,futex,13.3
11,getcwd,1.0
12,getegid,1.0
13,geteuid,2.0
14,getgid,1.0
15,getpid,1.0
16,getppid,1.0
17,getuid,4.0
18,lseek,1.0
19,lstat,2.0
20,mkdir,1.0
21,mmap,97.0
22,mprotect,28.0
23,munmap,3.0
24,newfstatat,51.0
25,openat,53.0
26,pipe,9.0
27,pread64,11.0
28,prlimit64,1.0
29,read,37.0
30,readlink,25.0
31,rt_sigaction,11.0
32,rt_sigprocmask,5.0
33,rt_sigreturn,9.0
34,set_robust_list,1.0
35,set_tid_address,1.0
36,socket,3.0
37,stat,10.0
38,wait4,17.0
39,write,1.0
