,syscall_names,./video
0,access,2.0
1,arch_prctl,4.0
2,brk,6.0
3,clone,8.9
4,close,35.2
5,connect,3.0
6,epoll_create1,2.0
7,epoll_ctl,46.4
8,epoll_pwait,3.5
9,fcntl,36.4
10,fstat,8.2
11,futex,71.8
12,getdents64,2.0
13,geteuid,1.0
14,getgid,1.0
15,getpeername,1.0
16,getpid,4.2
17,getsockname,1.0
18,gettid,2.0
19,getuid,4.0
20,ioctl,4.0
21,lseek,1.0
22,madvise,4.0
23,mmap,68.8
24,mprotect,16.9
25,munmap,3.0
26,nanosleep,0.1
27,newfstatat,66.0
28,openat,33.2
29,pipe2,4.0
30,pread64,64.0
31,prlimit64,2.0
32,read,48.5
33,readlinkat,10.0
34,recvmsg,3.6
35,rt_sigaction,239.0
36,rt_sigprocmask,40.6
37,rt_sigreturn,2.6
38,sched_getaffinity,2.0
39,sched_yield,0.2
40,sendmsg,1.0
41,set_robust_list,2.0
42,set_tid_address,2.0
43,setsockopt,1.0
44,sigaltstack,4.0
45,socket,3.0
46,statfs,3.0
47,umask,2.0
48,uname,2.0
49,wait4,1.0
50,waitid,1.0
51,write,3.9
